position,OpenAndClose
center,EyeClosed
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeClosed
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeClosed
center,EyeOpen
center,EyeOpen
center,EyeClosed
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeClosed
center,EyeOpen
center,EyeClosed
center,EyeClosed
center,EyeClosed
center,EyeClosed
center,EyeClosed
center,EyeClosed
center,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
left,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
left,EyeOpen
left,EyeOpen
left,EyeOpen
left,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
left,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeClosed
left,EyeOpen
left,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeClosed
right,EyeClosed
center,EyeClosed
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeClosed
center,EyeClosed
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeClosed
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeClosed
center,EyeClosed
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeClosed
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeClosed
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeClosed
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
left,EyeOpen
left,EyeOpen
right,EyeClosed
center,EyeClosed
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
left,EyeOpen
left,EyeOpen
left,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeClosed
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeClosed
center,EyeClosed
right,EyeClosed
right,EyeClosed
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
left,EyeOpen
center,EyeOpen
center,EyeClosed
center,EyeClosed
center,EyeClosed
center,EyeClosed
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeClosed
right,EyeClosed
center,EyeClosed
right,EyeClosed
right,EyeClosed
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeClosed
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeClosed
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
right,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
center,EyeOpen
